height,erg_balance_nano
1752380,1748416585552295
1752378,1748442640695554
1752376,1748468695838813
1752375,1748492755114552
1752373,1748516814390291
1752372,1748540876962811
1752370,1748562943394323
1752369,1748629142688857
1752348,1748588342831343
1752345,1748614376612503
1752343,1748640426662634
1752340,1748670498347765
1752337,1748694555695870
1752335,1748718593936883
1752333,1748746650618788
1752252,1748790744862092
1752250,1748814780503709
1752249,1748838816145326
1752248,1748862851786943
1752247,1748892931567819
1752245,1748923011348695
1752237,1748985197947426
1752236,1748948478077063
1752124,1748984523821463
1752121,1749885828307644
1752119,1749907942236098
1752118,1749932073070079
1752117,1749956203904060
1752116,1749982324034586
1752114,1750012473716929
1752113,1750044638175180
1752111,1750080808966788
1752110,1750121006725255
1752108,1750169258417440
1752106,1750083578531126
1752105,1750113744827507
1752103,1750151778692403
1752102,1750209849212371
1752097,1751384176098297
1752096,1751414298160728
1752095,1751452467015250
1752093,1751480595182295
1752093,1751480595182295
1752091,1751488040360038
1752089,1751445200422221
1752083,1752177537400695
1752056,1752116337537212
1752040,1752087777663817
1751105,1751987882740495
1751104,1751955242783677
1751100,1752091584143977
1751080,1751936544252199
1751069,1751710104414881
1750900,1751673384543288
1750755,1751638704588272
1750490,1751595864784153
1750237,1751559144822838
1750177,1751512224962293
1750157,1751267425076991
1749938,1751212345165891
1749805,1751181745171736
1749795,1751151145273548
1749767,1751120545386383
1749732,1751087905597183
1749679,1750881865811975
1748331,1750041385950463
1748276,1743463192770463
1748107,1743193912826722
1747672,1743093917944962
1747399,1746463444986962
1747392,1746426724997222
1747327,1746398165134241
1747279,1746371645297564
1747166,1745325313997564
1747051,1745296754008499
1746705,1745260034077666
1746385,1745209034185791
1746380,1745170274333610
1746373,1745131514533186
1746371,1745094794614280
1746149,1745060114729001
1745337,1745029514856509
1745320,1744998915050797
1745244,1744951995116656
1745205,1744913235260697
1745187,1744839795473698
1745177,1744805115668323
1741976,1744752075747225
1741245,1744711275907467
1740527,1744711273648810
1740479,1744682713743870
1740397,1744682713521517
1739811,1744652113531019
1739486,1744642137767435
1738812,1743225837901835
1738607,1741859003221835
1738351,1741812083369503
1738242,1741775363494094
1738132,1741744763515682
1738107,1741712123714028
1737660,1741624403851088
1734908,1741627477267504
1734696,1741627477039996
1734379,1740270801559996
1729705,1740236121593650
1728087,1740135705878050
1728042,1740107145916081
1727919,1740076546064137
1727893,1740015346195509
1727884,1739976586275087
1727872,1739948026335464
1727866,1739909266410743
1727823,1739872546608052
1726494,1739825626624574
1726475,1739788906669884
1726466,1739752186859070
1725878,1739721587057017
1725844,1739611761107017
1725824,1739581161320557
1725795,1739540361483834
1725789,1739503641591439
1725783,1739466921597345
1725778,1739430201624408
1725304,1739401641708261
1724547,1738474656936261
1724542,1738015907856261
1723360,1738005922924418
1722519,1737905997822698
1722518,1737797250340926
1722498,1736277058604835
1722457,1736219938776283
1722424,1736177098830131
1722414,1736134258939906
1722399,1736022059057620
1722350,1735435498663369
1722345,1735392658845562
1722292,1735323298891444
1720882,1735274338936431
1720488,1734955043813601
1720318,1734891803898931
1720102,1734650042478931
1720008,1734429722565376
1719794,1733948192805376
1719788,1733909432912188
1719779,1733870673066979
1719776,1733810498676979
1719662,1733757458803355
1719652,1733708499000802
1719646,1733671779003883
1719638,1733633019039987
1719633,1733594259117120
1719564,1733551419341806
1719534,1733500419364759
1719352,1733497784361134
1718927,1747093823813087
1718760,1747057103829095
1718749,1747002024019725
1718664,1746936744045250
1718540,1746900024051370
1718177,1746863304173250
1717960,1746824544198187
1717956,1737325706991563
1717026,1746839476243403
1716185,1746788872615403
1716126,1746533872773197
1715620,1746087112829042
1714136,1747176198820616
1713680,1746220683220616
1713145,1746220875717718
1712493,1743742688817718
1712491,1743344888945859
1712487,1742386089119898
1712484,1741431369247914
1712480,1740462369389113
1712478,1739495409430864
1712467,1738763049605276
1712466,1738524447125276
1712457,1737555447247024
1712430,1736786367348025
1712417,1736749647364225
1712415,1736509765804225
1712409,1735534645857214
1712400,1734590125956489
1712394,1733637446141836
1712224,1732737806278600
1712198,1732694966400669
1712180,1732639886479564
1712172,1732605206526370
1712170,1732115606709940
1712163,1731626006713980
1712159,1731142526785920
1712115,1730295926871862
1712027,1729792047017516
1712021,1729743087087945
1712016,1729698207128450
1712011,1729653327305087
1712003,1729608447353786
1711999,1729565607555837
1711990,1729518687658878
1711988,1729463607738463
1711983,1728504807791226
1711982,1728464007894523
1711981,1727505208097406
1711979,1727723966932316
1711974,1727677047063434
1711971,1727638287253582
1711965,1727144607392388
1711962,1726614207455918
1711954,1726571367556923
1711949,1726530567680624
1711944,1726487727707999
1711938,1726444887786978
1711930,1726404087977133
1711925,1726357168056777
1711923,1726316368183714
1711921,1727062622068469
1711915,1727021822272767
1711914,1727084056683191
1711909,1727045296790797
1711854,1726984097034000
1711846,1726945337144650
1711846,1726945337144650
1711844,1727660728565039
1711842,1728067901957232
1711814,1728020982020972
1711804,1728047014386526
1711223,1728095084051633
1711011,1703815999571633
1710932,1703766111371633
1710923,1702600779125486
1710900,1701610840565486
1710887,1701184480724084
1710882,1701284600301426
1710876,1702027104475826
1710875,1702059145489944
1710870,1702830785020377
1710865,1703506691516226
1710863,1703528762976698
1710857,1703625139159191
1710828,1704268707282165
1710826,1704290746318335
1710825,1704318802838784
1710823,1704348865187325
1710822,1704384900493858
1710817,1705124037469277
1710815,1705152097165902
1710813,1705805544203982
1710811,1705827614682474
1710796,1706000309977099
1710760,1706178544987065
1710759,1706109185137999
1710753,1706779422048264
1710750,1706841493338656
1710747,1706989832790371
1710601,1706953112936083
1710599,1707452220894756
1710598,1707474292043400
1710591,1707500387080497
1710590,1707459587219956
1710580,1707509748786072
1710578,1707537791283526
1710577,1707559826390780
1710576,1707585874434688
1710572,1707619948351903
1710569,1708007427908252
1710568,1708029483206012
1710566,1708053550061874
1710566,1708053550061874
1710564,1708030668516047
1710556,1708088860018279
1710555,1708110893283701
1710553,1708136941287291
1710552,1708164996659965
1710551,1708201081508975
1710550,1708223121688005
1710548,1708251179337366
1710540,1708351422751849
1710499,1708726272725287
1710497,1708752304738404
1710493,1708798377835591
1710492,1708820427738695
1710489,1708840479592327
1710488,1708866549380679
1710486,1708890621119558
1710485,1708918715294550
1710483,1708940790988363
1710481,1708966886932450
1710479,1709029141340540
1710461,1708992421448546
1710460,1708923061671503
1710450,1709604923423069
1710401,1710114391486491
1710400,1710140426407399
1710395,1710166461328307
1710389,1710190496238434
1710103,1710149696317919
1708752,1710112976318556
1708725,1710112950257454
1708584,1710112924189722
1708368,1710074164343212
1707851,1710031324553479
1707720,1710027406208179
1707700,1709990686329049
1706412,1709937646343022
1706315,1709900926369479
1706111,1709905710215852
1704855,1708423028321852
1704429,1708445335066172
1704265,1708410655145219
1704263,1708462704116707
1704262,1708413744231659
1704238,1708457804926368
1704125,1708414965105242
1704095,1706900364045242
1704047,1706861604289059
1703862,1706810604354299
1703749,1706769804432113
1703571,1706729004684669
1702292,1706720183846049
1700835,1707754525532049
1699294,1707385050131784
1698344,1707383531876982
1698341,1707358830143262
1698327,1707383925264730
1698276,1706228969195132
1698151,1706265132184337
1698149,1706289175108441
1698147,1706313218032545
1698145,1706339272065902
1698142,1706413457140932
1698141,1706439529802624
1698139,1706469624070712
1698137,1706491697719302
1698135,1706515782171090
1698133,1706543888229274
1698131,1706578026697052
1698129,1706598059487914
1698128,1706624108876256
1698126,1706664196992052
1697502,1707100073565318
1697497,1707029541850014
1697486,1706494566130014
1696682,1705959276250014
1696673,1706023379426554
1696665,1706045414114060
1696664,1706073447832051
1696662,1706133545532493
1696659,1706538334382012
1696657,1706560411348430
1696655,1706608553966731
1696653,1706638656988327
1696652,1706662739405604
1696650,1706710926456409
1696648,1706748969787180
1696647,1706793036276257
1696645,1707122139874576
1696643,1707146205430511
1696642,1707174292961818
1696638,1707230490123197
1696628,1707332681166996
1696615,1707366715287783
1696614,1707396783877133
1696612,1707434882522626
1696608,1707495063822513
1696606,1707798441108451
1696605,1707820483584150
1696604,1707842526059849
1696603,1707862568669856
1696554,1707912697171419
1696552,1707936749519998
1696550,1707958802997599
1696548,1707980856475200
1695866,1708031003974565
1695847,1707618016751196
1695844,1707668091022665
1695457,1707722199298490
1695324,1707240140974490
1695310,1707600890559710
1695308,1707655042741535
1695305,1707701196659216
1695303,1707729240710983
1695301,1707763303548355
1695299,1707783344359844
1695282,1707861544958317
1695203,1708434948586457
1695201,1708479007255355
1695171,1708681538501272
1695141,1708731623200481
1694427,1708759655409274
1692862,1707398394009274
1692321,1706845333689274
1691089,1707406831013337
1691060,1707787670599909
1691058,1707811705411412
1691052,1707875825538863
1691047,1707935936941065
1691042,1708246564051640
1691041,1708272598384266
1691039,1708296634780637
1691037,1708318673240753
1691036,1708340711700869
1691035,1708366766420599
1691033,1708390823204075
1690897,1708440955094385
1690855,1708437822158710
1690853,1708954920945298
1690853,1708954920945298
1690853,1708954920945298
1690847,1714619510504122
1690847,1714619510504122
1690847,1714619510504122
1690847,1714619510504122
1690843,1722629488070232
1690843,1722629488070232
1690843,1722629488070232
1689747,1727431973681674
1688661,1727985962834351
1688523,1725525520874351
1688146,1725553757543380
1687069,1726557347907380
1687062,1727535866114060
1687023,1728329351187468
1686787,1727298388227468
1686783,1727962583071942
1686168,1728345878343568
1685726,1728083697543568
1685705,1728403962133297
1685704,1728428037276150
1685702,1728456132644392
1685701,1728492268463414
1685700,1728514356598315
1685688,1728594714896626
1685310,1729039427762531
1685309,1729488268045222
1685308,1729510327200740
1685307,1729534395839207
1685305,1729562483443572
1685303,1729596546375282
1685301,1729616587372165
1685271,1729686764676210
1685227,1730087410108105
1685225,1730111450071522
1685223,1730133492316224
1685222,1730155534560926
1685220,1730181601435234
1685216,1730235755871780
1685207,1730283915600798
1685205,1730345984927392
1684873,1730596680519217
1684868,1730620713998555
1684867,1730646752942465
1684772,1730696843295115
1684771,1730720883034689
1684738,1730774989189497
1684737,1730797022435700
1684736,1730821062758986
1684735,1730849117236438
1684733,1730881185868057
1684702,1730925296962175
1684425,1730959338885873
1684360,1731332015872568
1684357,1731594363807343
1684354,1731620398682850
1684352,1731646433558357
1684351,1731668471561542
1684348,1731692519041972
1684340,1731744632957320
1684338,1731772670932631
1684337,1731808732353707
1684336,1731830774787127
1684334,1731858834804871
1684334,1731858834804871
1684331,1735934079359837
1684218,1736000381039413
1684189,1736637942441049
1684171,1737049064526911
1684169,1737081151701708
1684167,1737105222543523
1684162,1737193511420668
1684158,1737245715877961
1684138,1737299751433870
1684134,1737819757285648
1684082,1738088267420242
1684070,1738142348167744
1684062,1738208424442442
1683975,1738280539156808
1683711,1738434602918099
1683700,1738486691849954
1683655,1738514725572380
1683205,1738684877029245
1683203,1738728976154929
1683200,1738779113662803
1683195,1738829272210336
1683193,1738859311215179
1683190,1738883346617377
1683181,1739274401322168
1683178,1739320532303870
1683177,1739348621132112
1683175,1739384747300178
1683132,1739440966817806
1683122,1739729516160589
1680423,1739749548713217
1680055,1739835595914975
1679637,1738477404714975
1679064,1736352082797744
1678998,1736803893491344
1678978,1737401366014352
1678917,1737427402603226
1678781,1737489470053149
1678762,1737754156860558
1678760,1737778199640767
1678759,1737804253518192
1678758,1737830307395617
1678755,1737874415954796
1678752,1737898448338158
1678750,1737924489061538
1678748,1737954541274843
1678746,1737976584076944
1678745,1738000634872277
1678736,1738064800408792
1678734,1738086834930016
1678709,1738177023261772
1678703,1738811014709775
1678288,1739202190019020
1678181,1749649616905420
1678171,1749803889369068
1678168,1750326055243288
1678165,1750352100603946
1678159,1750988924446536
1678153,1751286351632555
1678148,1751336425082942
1677956,1751360458686046
1677949,1751388476891941
1677946,1751442568438723
1677944,1751470606044113
1677943,1751504660661688
1677939,1751550749303633
1677931,1751598790666147
1677739,1751800967437755
1677739,1751800967437755
1677735,1751851035868949
1677647,1751893106680518
1677638,1751925140436452
1677566,1752237552639124
1677565,1752261585617329
1677498,1752492182353167
1677141,1752518231516603
1677128,1752542265749322
1677127,1752570309661381
1677125,1752592345633366
1677031,1752654482547831
1677024,1752860649970058
1677017,1752910727915194
1676031,1752938766857835
1675968,1753950495290862
1675963,1754507978171957
1675399,1754712682746768
1675390,1754740715665035
1675387,1754977269948982
1675218,1755003307398000
1675215,1755569402369479
1675202,1755677765137480
1675197,1755703802886507
1675196,1755729840635534
1675195,1755753883067921
1675193,1755781939162952
1675192,1755803984649886
1675186,1755858119666231
1675184,1756329282222674
1675183,1756363406676180
1675181,1756892759061402
1675178,1756938875316515
1675176,1756966967737574
1675175,1757003097821881
1675138,1757079416222429
1674645,1757389876991938
1674586,1757761179462357
1674535,1757811258428685
1674532,1757841336711464
1674426,1757863398020039
1674420,1757891394159220
1674416,1757947483917569
1674415,1757981554405979
1674406,1758467672134613
1674399,1758869351595167
1674397,1758903399101854
1674396,1758925435511901
1674311,1759053740244065
1674271,1759842568241578
1674243,1760207432807135
1674242,1760231508702790
1674240,1760259603627132
1674238,1760297746123190
1674234,1760327797692188
1674232,1760715241459448
1674231,1760741278482715
1674230,1760765318510041
1674229,1760787361541426
1674228,1760817430594592
1673874,1761191097063630
1673820,1761219134744285
1673815,1761612099602799
1673813,1761642142579349
1673811,1761670189028976
1673809,1761692226883294
1673716,1761766402612105
1673708,1762233861684982
1673689,1762602849809712
1673130,1762726942060781
1673129,1759874491660781
1672358,1762652815327781
1671752,1762366103329496
1671294,1761386968501956
1671292,1761411005084841
1671291,1761439060771682
1671290,1761461107312802
1671288,1761485163405900
1671286,1761541313800008
1671284,1761565348562164
1671282,1761593395610385
1671280,1761625454944671
1671279,1761645496897879
1671215,1761703636091587
1671202,1762187186214380
1670396,1762225237222181
1670366,1762357326516460
1670328,1762675822756543
1670324,1762703882401293
1670323,1762733950444566
1670322,1762758012603794
1670321,1762788099958592
1670318,1762856327573803
1670312,1763166727497684
1670311,1763192761943896
1670309,1763216798174310
1670308,1763238836188926
1670307,1763258880816334
1670306,1763288957366567
1670297,1763335081149671
1670291,1763365134138942
1670289,1763393194403978
1670288,1763439315345758
1670283,1763863309405203
1670282,1763889373944067
1670281,1763949547868467
1670266,1764285119251885
1670265,1764305152370182
1670263,1764331197326448
1670239,1764381308659394
1670232,1764439396296680
1670218,1764701826724665
1670113,1764751914468288
1670111,1764781988431372
1670110,1764804046461006
1670060,1764868249729391
1670053,1764962431215193
1670011,1765295117937994
1670008,1765321155660683
1670006,1765351206433251
1670002,1765397290564724
1669941,1765427341077356
1669895,1765693989308912
1669894,1765716023361533
1669892,1765740065628490
1669891,1765766116109783
1669889,1765796183019748
1669886,1765844285028822
1669885,1765878372919028
1669778,1765944578843373
1669675,1766691965744007
1669669,1766780075443163
1669654,1766850593812055
1669653,1766876628235409
1669652,1766908679173147
1669650,1766930721156401
1669639,1767207647943472
1669341,1767235680499579
1669340,1767261717736335
1669338,1767291769200540
1669337,1767313810623734
1669332,1767373950379918
1669301,1767442064932128
1669300,1767706607436391
1669299,1767730641332774
1669276,1767800763112838
1668689,1767800734440536
1668687,1767800930486018
1668661,1767800902617986
1668391,1767800874781574
1668342,1765825223501087
1668022,1765266506261087
1668020,1765741756457278
1668018,1765771795172816
1668016,1765807849418555
1668014,1765831892071626
1668008,1766372433209411
1668006,1766800972670455
1668004,1766839094604015
1668003,1766867193597597
1667997,1767297600655981
1667996,1767327695816724
1667994,1767768130614864
1667992,1767802228969465
1667990,1767824298235427
1667987,1768226402556137
1667837,1768300565955433
1667832,1768554893226107
1667824,1769053965964240
1667197,1769250219222348
1666996,1771033302468348
1666903,1771228791598258
1666902,1771248830065866
1666901,1771276891213863
1666897,1771700725772131
1666895,1771722765786035
1666893,1771752830253107
1666890,1772198822824411
1666889,1772220865692716
1666888,1772254941798965
1666882,1772711048493626
1666877,1773138788502304
1666875,1773178849032916
1666827,1773375376441688
1666703,1776034202338688
1666616,1778677144209499
