height,sigusd_balance_raw
1752380,9999979009145
1752378,9999979008427
1752376,9999979007709
1752375,9999979007046
1752373,9999979006383
1752372,9999979005720
1752370,9999979005112
1752348,9999979003288
1752345,9999979002569
1752343,9999979001850
1752340,9999979001020
1752337,9999979000356
1752335,9999978999692
1752333,9999978998917
1752252,9999978997699
1752250,9999978997034
1752249,9999978996369
1752248,9999978995704
1752247,9999978994873
1752245,9999978994042
1752236,9999978992324
1752124,9999978991326
1752121,9999978966340
1752119,9999978965726
1752118,9999978965056
1752117,9999978964386
1752116,9999978963660
1752114,9999978962822
1752113,9999978961928
1752111,9999978960922
1752110,9999978959804
1752106,9999978958462
1752105,9999978957623
1752103,9999978956560
1752102,9999978954937
1752097,9999978922116
1752096,9999978921270
1752095,9999978920198
1752093,9999978919408
1752089,9999978918053
1751104,9999978897384
1747672,9999978893474
1737660,9999978793474
1719352,9999978793374
1717956,9999978263424
1715620,9999977879424
1713680,9999977839524
1711981,9999977839517
1711923,9999977831669
1711915,9999977803693
1711846,9999977801337
1711844,9999977772389
1711814,9999977756646
1711804,9999977755636
1710887,9999977753771
1710882,9999977749873
1710876,9999977720932
1710875,9999977719677
1710870,9999977689453
1710865,9999977662849
1710863,9999977661976
1710857,9999977658164
1710828,9999977632584
1710826,9999977631705
1710825,9999977630586
1710823,9999977629387
1710822,9999977627948
1710817,9999977598432
1710815,9999977597306
1710813,9999977571084
1710811,9999977570194
1710796,9999977563230
1710759,9999977555972
1710753,9999977528518
1710750,9999977525963
1710601,9999977519857
1710599,9999977499155
1710598,9999977498239
1710590,9999977497156
1710580,9999977495073
1710578,9999977493906
1710577,9999977492989
1710576,9999977491905
1710572,9999977490487
1710569,9999977474355
1710568,9999977473434
1710566,9999977472429
1710564,9999977471340
1710556,9999977468910
1710555,9999977467988
1710553,9999977466898
1710552,9999977465724
1710551,9999977464214
1710550,9999977463291
1710548,9999977462116
1710540,9999977457918
1710499,9999977442187
1710497,9999977441092
1710493,9999977439154
1710492,9999977438227
1710489,9999977437384
1710488,9999977436288
1710486,9999977435276
1710485,9999977434095
1710483,9999977433167
1710481,9999977432070
1710460,9999977429453
1710450,9999977400649
1710401,9999977379022
1710400,9999977377913
1710395,9999977376804
1706315,9999977375780
1704855,9999977375566
1704265,9999977374566
1704262,9999977372279
1702292,9999977370343
1698341,9999977320343
1698276,9999977319204
1698151,9999977317612
1698149,9999977316548
1698147,9999977315484
1698145,9999977314331
1698142,9999977311048
1698141,9999977309894
1698139,9999977308562
1698137,9999977307585
1698135,9999977306519
1698133,9999977305275
1698131,9999977303764
1698129,9999977302875
1698128,9999977301719
1698126,9999977299940
1696682,9999977280597
1696673,9999977277721
1696665,9999977276732
1696664,9999977275473
1696662,9999977272774
1696659,9999977254567
1696657,9999977253574
1696655,9999977251407
1696653,9999977250052
1696652,9999977248968
1696650,9999977246799
1696648,9999977245081
1696647,9999977243091
1696645,9999977228229
1696643,9999977227140
1696642,9999977225869
1696638,9999977223326
1696628,9999977218691
1696615,9999977217145
1696614,9999977215782
1696612,9999977214055
1696608,9999977211327
1696606,9999977197575
1696605,9999977196572
1696604,9999977195569
1696603,9999977194657
1696554,9999977192376
1696552,9999977191281
1696550,9999977190277
1696548,9999977189273
1695847,9999977186990
1695844,9999977184706
1695324,9999977182238
1695310,9999977165747
1695308,9999977163269
1695305,9999977161157
1695303,9999977159871
1695301,9999977158309
1695299,9999977157390
1695282,9999977153804
1695203,9999977127429
1695201,9999977125395
1695171,9999977116045
1695141,9999977113728
1692321,9999977112430
1691089,9999977084305
1691060,9999977065751
1691058,9999977064577
1691052,9999977061445
1691047,9999977058507
1691042,9999977043301
1691041,9999977042024
1691039,9999977040845
1691037,9999977039764
1691036,9999977038683
1691035,9999977037405
1691033,9999977036225
1690855,9999977033766
1690853,9999977008303
1690853,9999977008303
1690853,9999977008303
1690847,9999976729226
1690847,9999976729226
1690847,9999976729226
1690847,9999976729226
1690843,9999976334782
1690843,9999976334782
1690843,9999976334782
1689747,9999976098288
1688523,9999976071144
1688146,9999976069774
1687069,9999976019774
1687062,9999975977774
1686787,9999975943716
1686783,9999975915184
1685726,9999975898638
1685705,9999975884740
1685704,9999975883698
1685702,9999975882482
1685701,9999975880918
1685700,9999975879962
1685688,9999975876484
1685310,9999975857142
1685309,9999975837287
1685308,9999975836310
1685307,9999975835244
1685305,9999975834000
1685303,9999975832489
1685301,9999975831600
