start,trough,end,peak_price,trough_price,max_drawdown_pct,duration_days
2019-07-06,2019-07-06,2019-07-07,4.6931,3.0665,-34.7,0
2019-07-09,2020-03-17,2021-02-27,4.6931,0.1103,-97.6,252
2021-03-05,2021-03-16,2021-04-14,4.6931,1.7744,-62.2,11
2021-04-23,2021-04-26,2021-04-28,4.6931,2.7883,-40.6,3
2021-05-20,2021-05-24,2021-05-27,18.0556,7.6834,-57.4,4
2021-05-28,2021-05-30,2021-06-01,18.0556,9.969,-44.8,2
2021-06-02,2021-07-21,2021-08-21,18.0556,4.2778,-76.3,49
2021-09-21,2021-09-22,2021-09-23,18.7224,12.0079,-35.9,1
2021-09-28,2021-09-29,2021-10-02,18.7224,10.4084,-44.4,1
2021-10-03,2026-03-29,ongoing,18.7224,0.2799,-98.5,1638
