regime,drawdown_bucket,strategy,mean_reserve_ratio,min_reserve_ratio,days_in_bucket,sigusd_mint_available_pct,sigusd_redeem_available_pct
current,0-10%,A_100pct_erg,1.0052,0.9329,20,80.0,100.0
current,0-10%,B_70_30,1.1567,1.0894,20,80.0,100.0
current,0-10%,C_50_50,1.1274,1.0831,20,80.0,100.0
current,0-10%,D_30_70,1.0716,1.0499,20,80.0,100.0
current,10-25%,A_100pct_erg,0.8418,0.7442,12,42.3,100.0
current,10-25%,B_70_30,1.0125,0.9319,12,42.3,100.0
current,10-25%,C_50_50,1.0288,0.9726,12,42.3,100.0
current,10-25%,D_30_70,1.0226,0.9934,12,42.3,100.0
current,25-40%,A_100pct_erg,0.7324,0.5587,24,70.0,100.0
current,25-40%,B_70_30,0.8943,0.7745,24,70.0,100.0
current,25-40%,C_50_50,0.9495,0.8642,24,70.0,100.0
current,25-40%,D_30_70,0.9898,0.9378,24,70.0,100.0
current,40-60%,A_100pct_erg,0.5,0.3025,78,86.8,98.9
current,40-60%,B_70_30,0.6973,0.5274,78,86.8,98.9
current,40-60%,C_50_50,0.815,0.7009,78,86.8,98.9
current,40-60%,D_30_70,0.9202,0.861,78,86.8,98.9
current,60-80%,A_100pct_erg,0.2192,0.0586,151,76.4,100.0
current,60-80%,B_70_30,0.4171,0.2208,151,76.4,100.0
current,60-80%,C_50_50,0.6289,0.4983,151,76.4,100.0
current,60-80%,D_30_70,0.8345,0.7784,151,76.4,100.0
current,80%+,A_100pct_erg,0.0121,0.0001,1476,47.3,100.0
current,80%+,B_70_30,0.057,0.0012,1476,47.3,100.0
current,80%+,C_50_50,0.3525,0.2503,1476,47.3,100.0
current,80%+,D_30_70,0.7192,0.6777,1476,47.3,100.0
uip001,0-10%,A_100pct_erg,1.1851,1.1185,20,80.0,100.0
uip001,0-10%,B_70_30,1.2402,1.1849,20,80.0,100.0
uip001,0-10%,C_50_50,1.1919,1.154,20,80.0,100.0
uip001,0-10%,D_30_70,1.1254,1.1059,20,80.0,100.0
uip001,10-25%,A_100pct_erg,1.0035,0.9104,12,42.3,100.0
uip001,10-25%,B_70_30,1.0984,1.0304,12,42.3,100.0
uip001,10-25%,C_50_50,1.093,1.0454,12,42.3,100.0
uip001,10-25%,D_30_70,1.0723,1.046,12,42.3,100.0
uip001,25-40%,A_100pct_erg,0.8417,0.7002,24,70.0,100.0
uip001,25-40%,B_70_30,0.9607,0.8745,24,70.0,100.0
uip001,25-40%,C_50_50,0.9975,0.9357,24,70.0,100.0
uip001,25-40%,D_30_70,1.0244,0.9855,24,70.0,100.0
uip001,40-60%,A_100pct_erg,0.5998,0.411,78,86.8,98.9
uip001,40-60%,B_70_30,0.7825,0.6485,78,86.8,98.9
uip001,40-60%,C_50_50,0.8732,0.7825,78,86.8,98.9
uip001,40-60%,D_30_70,0.955,0.9022,78,86.8,98.9
uip001,60-80%,A_100pct_erg,0.284,0.1196,151,76.4,100.0
uip001,60-80%,B_70_30,0.5273,0.3912,151,76.4,100.0
uip001,60-80%,C_50_50,0.7012,0.6111,151,76.4,100.0
uip001,60-80%,D_30_70,0.8639,0.819,151,76.4,100.0
uip001,80%+,A_100pct_erg,0.0266,0.0007,1476,47.3,100.0
uip001,80%+,B_70_30,0.2035,0.0863,1476,47.3,100.0
uip001,80%+,C_50_50,0.4862,0.4081,1476,47.3,100.0
uip001,80%+,D_30_70,0.7607,0.7243,1476,47.3,100.0
